"","site","year","state"
"1","1","1",3
"2","2","1",3
"3","3","1",2
"4","4","1",2
"5","5","1",1
"6","1","2",2.93
"7","2","2",2.86
"8","3","2",2.1
"9","4","2",2.05
"10","5","2",1.75
"11","1","3",2.82
"12","2","3",2.84
"13","3","3",2.2
"14","4","3",2.15
"15","5","3",2.1
"16","1","4",2.8
"17","2","4",2.75
"18","3","4",2.27
"19","4","4",2.28
"20","5","4",2.22
"21","1","5",2.68
"22","2","5",2.69
"23","3","5",2.29
"24","4","5",2.32
"25","5","5",2.33
"26","1","6",2.64
"27","2","6",2.66
"28","3","6",2.35
"29","4","6",2.32
"30","5","6",2.41
"31","1","7",2.61
"32","2","7",2.61
"33","3","7",2.4
"34","4","7",2.37
"35","5","7",2.46
"36","1","8",2.59
"37","2","8",2.55
"38","3","8",2.46
"39","4","8",2.42
"40","5","8",2.44
"41","1","9",2.57
"42","2","9",2.56
"43","3","9",2.46
"44","4","9",2.43
"45","5","9",2.46
"46","1","10",2.55
"47","2","10",2.54
"48","3","10",2.47
"49","4","10",2.48
"50","5","10",2.51
