"","site","year","state"
"1","1","1",3
"2","2","1",3
"3","3","1",2
"4","4","1",2
"5","5","1",1
"6","1","2",1.91
"7","2","2",2.91
"8","3","2",2.11
"9","4","2",2.12
"10","5","2",1.58
"11","1","3",1.58
"12","2","3",2.84
"13","3","3",1.81
"14","4","3",2.21
"15","5","3",1.77
"16","1","4",1.52
"17","2","4",2.7
"18","3","4",1.87
"19","4","4",2.25
"20","5","4",1.87
"21","1","5",1.42
"22","2","5",2.64
"23","3","5",1.77
"24","4","5",2.28
"25","5","5",1.86
"26","1","6",1.51
"27","2","6",2.62
"28","3","6",1.91
"29","4","6",2.3
"30","5","6",1.81
"31","1","7",1.59
"32","2","7",2.61
"33","3","7",1.88
"34","4","7",2.39
"35","5","7",1.75
"36","1","8",1.58
"37","2","8",2.57
"38","3","8",1.69
"39","4","8",2.4
"40","5","8",1.7
"41","1","9",1.59
"42","2","9",2.53
"43","3","9",1.87
"44","4","9",2.4
"45","5","9",1.75
"46","1","10",1.59
"47","2","10",2.55
"48","3","10",1.83
"49","4","10",2.36
"50","5","10",1.81
